"devicename","FriendlyName","DriverVersion","DriverDate"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Generic volume shadow copy",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume",,"10.0.22000.1","20060621000000.******+***"
"Volume Manager",,"10.0.22000.778","20060621000000.******+***"
,,,
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",
,,"2:10.0,2:6.3,2:6.2,2:6.1,2:6.0,2:5.2,2:5.1",
