"Name","Version"
"Microsoft .NET Host FX Resolver - 6.0.33 (x86)","48.132.18378"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359"
"Logitech LCD Manager","3.06.109"
"iCloud Outlook","15.0.0.215"
"Microsoft .NET Host FX Resolver - 8.0.8 (x64)","64.32.18380"
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33810","14.40.33810"
"XSplit Broadcaster","4.5.2402.2307"
"AMD PSP Driver","5.30.0.0"
"Bonjour","3.1.0.1"
"IntelliTraceProfilerProxy","15.0.21225.01"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300","125.191.42208"
"MobaXterm","24.2.0.5220"
"Microsoft .NET Toolset 8.0.400 (x64)","32.8.13214"
"Microsoft Windows Desktop Targeting Pack - 8.0.8 (x64)","64.32.18376"
"Microsoft .NET Host - 8.0.8 (x64)","64.32.18380"
"AMD Settings","2024.0823.1152.2026"
"RemoteSetup","1.1.11.0"
"Zoom Workplace (64-bit)","6.1.45504"
"3Dconnexion Add-In for Autodesk Inventor","2.4.1.19400"
"DaVinci Resolve Control Panels","2.3.0.0"
"Microsoft.NET.Sdk.macOS.Manifest-6.0.300","100.255.42208"
"icecap_collectionresourcesx64","17.11.35102"
"Microsoft .NET AppHost Pack - 6.0.33 (x64_arm)","48.132.18378"
"Microsoft .NET AppHost Pack - 8.0.8 (x64_x86)","64.32.18380"
,
"Microsoft Azure PowerShell - April 2018","5.7.0.18831"
"Cyberduck","6.4.6.27773"
"AMD I2C Driver","1.2.0.124"
"THX V3 APO Presets","3.0.36.1"
"Microsoft .NET AppHost Pack - 8.0.8 (x64_arm64)","64.32.18380"
"Microsoft ASP.NET Web Tools Packages 17.0 - ENU","17.0.40305.0"
"Elgato 4K Capture Utility","1.7.13.6046"
"Microsoft .NET AppHost Pack - 8.0.8 (x64)","64.32.18380"
"VS JIT Debugger","17.0.157.0"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037"
"Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184"
"3Dconnexion Add-In for Solid Edge","3.6.3"
"vs_devenx64vmsi","17.11.35102"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810","14.40.33810"
"VS Immersive Activate Helper","17.0.157.0"
"Microsoft ASP.NET Core 8.0.8 Targeting Pack (x64)","8.0.8.24369"
"Loupedeck 5.9.1.19364","5.9.1.19364"
"vs_minshellmsires","17.11.35102"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.32.18380"
"3Dconnexion Add-In for SOLIDWORKS","3.5.14.19609"
"Microsoft .NET Core SDK 2.1.300 (x64)","8.91.8884"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.32.18242"
"3Dconnexion Plugin for Unreal Editor","1.1.7.92"
"3Dconnexion 3DxWinCore","17.8.15.20373"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.5.8030"
"Aspire.Hosting (x64)","8.1.0.0"
"Microsoft .NET Host - 7.0.20 (x86)","56.80.15184"
"THX V3 APO Presets","3.0.36.1"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.32.18242"
"Microsoft .NET Host - 7.0.20 (x64)","56.80.15184"
"Python 3.13.0b3 Test Suite (64-bit)","3.13.113.0"
"vs_FileTracker_Singleton","17.11.35102"
"Microsoft ASP.NET Core 8.0.8 Targeting Pack (x86)","8.0.8.24369"
"Documentation Manager","23.70.2.3"
"Brother iPrint&Scan","10.6.1.1"
"Microsoft .NET 8.0 Templates 8.0.400 (x64)","32.10.13214"
"Microsoft .NET Runtime - 8.0.8 (x64)","64.32.18380"
"Elgato Stream Deck","6.7.3.21005"
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113"
"icecap_collection_neutral","17.11.35103"
"3Dconnexion Plug-In for Creo 2.0 - 9.0","2.4.6.19972"
"Microsoft Visual Studio Setup Configuration","3.11.2133.16870"
"3Dconnexion Add-In for AutoCAD","5.7.3.19836"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43"
"Microsoft .NET Host - 6.0.33 (x64)","48.132.18378"
"Microsoft Windows Desktop Targeting Pack - 6.0.33 (x64)","48.132.18374"
"Aspire.Hosting.Sdk (x64)","8.1.0.0"
"Imaging Edge Desktop","1.2.01.04031"
"Aspire.Dashboard.Sdk.win-x64 (x64)","8.1.0.0"
"3Dconnexion 3DxSoftware","10.8.15.3625"
"Microsoft .NET Runtime - 7.0.20 (x86)","56.80.15184"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.5.8020"
"DriverInstaller","1.0.3.1"
"3Dconnexion Add-In for Microsoft Office","1.1.2.19333"
"Python Launcher","3.13.113.0"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1"
"Entity Framework 6.2.0 Tools  for Visual Studio 2022","6.2.0.0"
"vs_devenvsharedmsi","17.11.35102"
"vs_filehandler_amd64","17.11.35102"
"Microsoft.NET.Sdk.iOS.Manifest-6.0.300","125.191.42208"
"3Dconnexion Plug-in for Unity Editor","1.0.0.18"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","9.0.30729"
"HttpToUsbBridge","2.0.33.1"
"Elgato Camera Hub","1.6.1.999"
"AMD SBxxx SMBus Driver","5.12.0.44"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.11.231.19466"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x86)","8.0.8.24369"
"THX V3 APO Presets","3.0.18"
"Python 3.13.0b3 Executables (64-bit)","3.13.113.0"
"DiagnosticsHub_CollectionService","17.10.34627"
"Microsoft Windows Desktop Runtime - 6.0.33 (x86)","48.132.18374"
"vs_tipsmsi","17.11.35102"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.32.18242"
"Microsoft Windows Desktop Runtime - 7.0.20 (x64)","56.80.15245"
"Microsoft .NET Targeting Pack - 6.0.33 (x64)","48.132.18378"
"vs_CoreEditorFonts","17.7.40001"
"3Dconnexion Extension for SketchUp","5.4.0.19831"
"Microsoft Update Health Tools","5.72.0.0"
"Microsoft .NET Core Host FX Resolver - 2.1.0 (x64)","16.64.26515"
"icecap_collectionresources","17.11.35103"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.5.8030"
"vs_clickoncesigntoolmsi","17.11.35102"
"vs_minshellinteropx64msi","17.11.35102"
"3Dconnexion Viewer","1.1.0.44"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.72"
"Microsoft .NET 6.0 Templates 6.0.425 (x64)","24.8.29999"
"vs_minshellsharedmsi","17.11.35102"
"Microsoft Windows Desktop Targeting Pack - 8.0.8 (x86)","64.32.18376"
"3Dconnexion Plug-In for Acrobat 3D","1.5.1.763"
"Microsoft Windows Desktop Runtime - 8.0.8 (x86)","64.32.18376"
"vs_BlendMsi","17.11.35102"
"Camtasia 2019","19.0.7.5034"
"Branding64","1.00.0009"
"AMD PCI Driver","1.0.0.90"
"Microsoft Windows Desktop Runtime - 7.0.20 (x86)","56.80.15245"
"3Dconnexion Plug-In for NX 8.0 - 2212 Series","3.5.2.19884"
"Microsoft.NET.Sdk.tvOS.Manifest-6.0.300","125.191.42208"
"3Dconnexion Add-In for Navisworks","1.0.1.36"
"Microsoft .NET Core Runtime - 2.1.0 (x64)","16.64.26515"
"Snagit 2022","22.1.0"
"Python 3.13.0b3 Standard Library (64-bit)","3.13.113.0"
"iTunes","12.13.3.2"
"DaVinci Resolve Renderer","19.0.00069"
"Microsoft .NET Host FX Resolver - 7.0.20 (x64)","56.80.15184"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","14.40.33810"
"AppLogLibSetup","1.0.3.0"
"AMD GPIO2 Driver","2.2.0.133"
"Microsoft .NET Runtime - 6.0.33 (x86)","48.132.18378"
"Blackmagic RAW Common Components","4.2"
"vcpp_crt.redist.clickonce","14.40.33810"
"vs_clickoncebootstrappermsires","17.11.35102"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.5.8020"
