"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","ClassGuid","CompatID","CreationClassName","Description","DeviceClass","DeviceID","DeviceName","DevLoader","DriverDate","DriverName","DriverProviderName","DriverVersion","FriendlyName","HardWareID","InfName","InstallDate","IsSigned","Location","Manufacturer","Name","PDO","Signer","Started","StartMode","Status","SystemCreationClassName","SystemName"
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{c166523c-fe0c-4a94-a586-f1a80cfbbf3e}","GenericAudioEndpoint",,"Audio Endpoint","AUDIOENDPOINT","SWD\MMDEVAPI\{0.0.1.00000000}.{5DFEA507-BDAF-485B-84FD-802869897A3D}","Audio Endpoint",,"20210506000000.******+***",,"Microsoft","10.0.22000.1","XSplit Audio (Broadcaster)","MMDEVAPI\AudioEndpoints","audioendpoint.inf",,"True",,"Microsoft",,"\Device\00000176","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96c-e325-11ce-bfc1-08002be10318}",,,"Broadcaster","MEDIA","ROOT\MEDIA\0001","Broadcaster",,"20210726000000.******+***","XSpltAud.sys","SplitmediaLabs","1.0.2107.2601",,"{6B590436-4E69-4031-9326-795341EAD8A4}","oem38.inf",,"True",,"SplitmediaLabs",,"\Device\0000001c","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{c166523c-fe0c-4a94-a586-f1a80cfbbf3e}","GenericAudioEndpoint",,"Audio Endpoint","AUDIOENDPOINT","SWD\MMDEVAPI\{0.0.0.00000000}.{923FB59A-985B-4745-990F-53ED4408195C}","Audio Endpoint",,"20210506000000.******+***",,"Microsoft","10.0.22000.1","Speakers (XSplit  Stream  Audio  Renderer)","MMDEVAPI\AudioEndpoints","audioendpoint.inf",,"True",,"Microsoft",,"\Device\0000016b","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96c-e325-11ce-bfc1-08002be10318}",,,"XSplit  Stream  Audio  Renderer","MEDIA","ROOT\MEDIA\0000","XSplit  Stream  Audio  Renderer",,"20210524000000.******+***","xspltspk.sys","SplitmediaLabs","2.0.2105.2401",,"*XSplitDummy","oem37.inf",,"True",,"Microsoft",,"\Device\0000001b","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"Remote Desktop Device Redirector Bus","SYSTEM","ROOT\RDPBUS\0000","Remote Desktop Device Redirector Bus",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"ROOT\RDPBUS","rdpbus.inf",,"True",,"Microsoft",,"\Device\0000001a","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,,"",,,,"{6BCEE436-132B-4AD2-BFCC-A3947CE3804F}\3DXKMJ\1&2D595CA7&0&01","3Dx_KMJ_01",,,,,,,"",,,,"3Dconnexion KMJ Driver",,,"\Device\000000d9",,,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{745a17a0-74d3-11d0-b6fe-00a0c90f57da}","",,"HID-compliant game controller","HIDCLASS","HID\3DXKMJ_HIDMINI&COL03\1&2D595CA7&0&0002","HID-compliant game controller",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"HID\3DXKMJ_HIDMINI&Col03","input.inf",,"True",,"(Standard system devices)",,"\Device\000000e4","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96b-e325-11ce-bfc1-08002be10318}","",,"HID Keyboard Device","KEYBOARD","HID\3DXKMJ_HIDMINI&COL02\1&2D595CA7&0&0001","HID Keyboard Device",,"20060621000000.******+***",,"Microsoft","10.0.22000.653",,"HID\3DXKMJ_HIDMINI&Col02","keyboard.inf",,"True",,"(Standard keyboards)",,"\Device\000000e3","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96f-e325-11ce-bfc1-08002be10318}","",,"HID-compliant mouse","MOUSE","HID\3DXKMJ_HIDMINI&COL01\1&2D595CA7&0&0000","HID-compliant mouse",,"20060621000000.******+***",,"Microsoft","10.0.22000.653",,"HID\3DXKMJ_HIDMINI&Col01","msmouse.inf",,"True",,"Microsoft",,"\Device\000000e2","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,,"3Dconnexion KMJ Emulator","HIDCLASS","ROOT\HIDCLASS\0000","3Dconnexion KMJ Emulator",,"20110114000000.******+***",,"3Dconnexion","1.0.3.0",,"{FDDD50EC-FBF4-4507-97B6-5F56D7548692}\HID_DEVICE","oem31.inf",,"True",,"3Dconnexion",,"\Device\00000019","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96c-e325-11ce-bfc1-08002be10318}",,,"Microsoft Streaming Clock Proxy","MEDIA","SW\{97EBAACC-95BD-11D0-A3EA-00A0C9223196}\{53172480-4791-11D0-A5D6-28DB04C10000}","Microsoft Streaming Clock Proxy","*NTKERN","20060621000000.******+***",,"Microsoft","10.0.22000.1",,"SW\{97ebaacc-95bd-11d0-a3ea-00a0c9223196}","ksfilter.inf",,"True",,"Microsoft",,"\Device\KSENUM#00000003","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96c-e325-11ce-bfc1-08002be10318}",,,"Microsoft Streaming Quality Manager Proxy","MEDIA","SW\{DDF4358E-BB2C-11D0-A42F-00A0C9223196}\{97EBAACB-95BD-11D0-A3EA-00A0C9223196}","Microsoft Streaming Quality Manager Proxy","*NTKERN","20060621000000.******+***",,"Microsoft","10.0.22000.1",,"SW\{DDF4358E-BB2C-11D0-A42F-00A0C9223196}","ksfilter.inf",,"True",,"Microsoft",,"\Device\KSENUM#00000002","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e96c-e325-11ce-bfc1-08002be10318}",,,"Microsoft Streaming Service Proxy","MEDIA","SW\{96E080C7-143C-11D1-B40F-00A0C9223196}\{3C0D501A-140B-11D1-B40F-00A0C9223196}","Microsoft Streaming Service Proxy","*NTKERN","20060621000000.******+***",,"Microsoft","10.0.22000.1",,"SW\{96E080C7-143C-11D1-B40F-00A0C9223196}","ksfilter.inf",,"True",,"Microsoft",,"\Device\KSENUM#00000001","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"Plug and Play Software Device Enumerator","SYSTEM","ROOT\SYSTEM\0000","Plug and Play Software Device Enumerator",,"20210406000000.******+***",,"Microsoft","10.0.22000.1",,"ROOT\SWENUM","swenum.inf",,"True",,"(Standard system devices)",,"\Device\00000018","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"Microsoft System Management BIOS Driver","SYSTEM","ROOT\MSSMBIOS\0000","Microsoft System Management BIOS Driver",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"ROOT\mssmbios","mssmbios.inf",,"True",,"(Standard system devices)",,"\Device\00000017","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"NDIS Virtual Network Adapter Enumerator","SYSTEM","ROOT\NDISVIRTUALBUS\0000","NDIS Virtual Network Adapter Enumerator",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"ROOT\NdisVirtualBus","ndisvirtualbus.inf",,"True",,"Microsoft",,"\Device\00000016","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"AMD Crash Defender","SYSTEM","ROOT\AMDLOG\0000","AMD Crash Defender",,"20221205000000.******+***",,"AMD","22.20.0.2",,"ROOT\AMDLOG","oem35.inf",,"True",,"AMD",,"\Device\00000015","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{c8b76578-d062-4834-0001-f8b6f2162a22}",,,"Usb Software Root","FOCUSRITE AUDIO","ROOT\FOCUSRITE_AUDIO\0000","Usb Software Root",,"20200206000000.******+***",,"Focusrite Audio Engineering, Ltd.","4.65.5.658","Usb Software Root","ROOT\Focusriteusb","oem27.inf",,"True",,"Focusrite Audio Engineering, Ltd.",,"\Device\00000014","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"VMware VMCI Host Device","SYSTEM","ROOT\VMWVMCIHOSTDEV\0000","VMware VMCI Host Device",,"20191107000000.******+***",,"VMware, Inc.","9.8.16.0",,"ROOT\VMWVMCIHOSTDEV","oem29.inf",,"True",,"VMware, Inc.",,"\Device\00000013","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{6bdd1fc6-810f-11d0-bec7-08002be2092f}",,,"XSplit VCam","IMAGE","ROOT\IMAGE\0000","XSplit VCam",,"20210405000000.******+***",,"SplitmediaLabs","1.0.2105.402",,"{4AE912DE-FAA5-4C68-8799-76275290AA1D}","oem4.inf",,"True",,"SplitmediaLabs",,"\Device\00000012","Microsoft Windows Hardware Compatibility Publisher",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"Microsoft Basic Render Driver","SYSTEM","ROOT\BASICRENDER\0000","Microsoft Basic Render Driver",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"ROOT\BasicRender","basicrender.inf",,"True",,"Microsoft",,"\Device\00000011","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{f2e7dd72-6468-4e36-b6f1-6488f42c1b52}","UEFI\CC_00010002",,"Device Firmware","FIRMWARE","UEFI\RES_{F766F6E6-B43D-4ACD-A4BD-80FF2F0AF5CC}\0","Device Firmware",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"UEFI\RES_{f766f6e6-b43d-4acd-a4bd-80ff2f0af5cc}&REV_14010031","c_firmware.inf",,"True",,"Microsoft",,"\Device\000000e1","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{f2e7dd72-6468-4e36-b6f1-6488f42c1b52}","UEFI\CC_00010002",,"Device Firmware","FIRMWARE","UEFI\RES_{F5536E63-E4C0-4E0D-84D4-E8E152B1BA65}\0","Device Firmware",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"UEFI\RES_{f5536e63-e4c0-4e0d-84d4-e8e152b1ba65}&REV_30000","c_firmware.inf",,"True",,"Microsoft",,"\Device\000000e0","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{f2e7dd72-6468-4e36-b6f1-6488f42c1b52}","UEFI\CC_00010001",,"System Firmware","FIRMWARE","UEFI\RES_{9AB65672-B9F9-5068-BED5-34B99D7555B8}\0","System Firmware",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"UEFI\RES_{9ab65672-b9f9-5068-bed5-34b99d7555b8}&REV_504","c_firmware.inf",,"True",,"Microsoft",,"\Device\000000df","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"Microsoft UEFI-Compliant System","SYSTEM","ACPI_HAL\UEFI\0","Microsoft UEFI-Compliant System",,"20060621000000.******+***",,"Microsoft","10.0.22000.653",,"ACPI_HAL\UEFI","uefi.inf",,"True",,"Microsoft",,"\Device\0000001e","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{4d36e97d-e325-11ce-bfc1-08002be10318}",,,"ACPI Fixed Feature Button","SYSTEM","ACPI\FIXEDBUTTON\2&DABA3FF&0","ACPI Fixed Feature Button",,"20060621000000.******+***",,"Microsoft","10.0.22000.1",,"ACPI\FixedButton","machine.inf",,"True",,"(Standard system devices)",,"\Device\000000ab","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7F","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000aa","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7E","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a9","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7D","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a8","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7C","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a7","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7B","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a6","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\7A","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a5","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\79","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a4","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\78","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a3","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{50127dc3-0f36-415e-a6cc-4cb3be910b65}","ACPI\Processor",,"AMD Processor","PROCESSOR","ACPI\AUTHENTICAMD_-_AMD64_FAMILY_23_MODEL_49_-_AMD_RYZEN_THREADRIPPER_PRO_3995WX_64-CORES_____\77","AMD Processor",,"20090421000000.******+***",,"Microsoft","10.0.22000.778","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","ACPI\AuthenticAMD_-_AMD64_Family_23_Model_49","cpu.inf",,"True",,"Advanced Micro Devices",,"\Device\000000a2","Microsoft Windows",,,,,
